Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio
1,0.0,35,1935,495,2026.7556262093349,78123.0,309,2.23606797749979,1.047418928273558,44.67060409250507,0.7962962962962963,3,12101.0,1.3153633052737705
2,0.0,391,2263,503,2326.1181079435732,77718.0,329,2.23606797749979,1.027891342440819,36.81779630095056,0.8181489515545914,2,13093.0,1.256362109231686
3,0.0,33,2842,472,2937.4288578496785,152787.0,446,2.23606797749979,1.033578063986516,57.21607105335255,0.8575739287869644,3,21739.0,1.2052349416084849
4,0.0,121,2210,451,2326.9465350683213,45650.0,206,2.23606797749979,1.0529169841938106,20.246627626763246,0.8305148440435927,2,10411.0,1.2677882782532715
5,0.0,4,2530,494,2640.69379311341,134922.0,407,2.23606797749979,1.0437524873966046,60.494420573119385,0.8366402116402116,4,18461.0,1.2475523801926216
6,0.0,458,2708,566,2802.4339084835715,99329.0,364,2.23606797749979,1.0348721966335197,39.75108620329197,0.8271227855833843,3,16223.0,1.251171186033288
7,0.0,19,3353,614,3550.1365773754464,149816.0,422,2.23606797749979,1.0587940880928859,46.6548773886003,0.8452230904965969,3,23525.0,1.252680032050247
8,0.0,2,2629,540,2729.764860925267,82859.0,315,2.23606797749979,1.0383282087962218,33.900038530956905,0.8295992426633008,2,14823.0,1.2516021657189909
9,0.0,1013,2837,597,2959.3699833466303,133337.0,422,2.23606797749979,1.0431335859522841,47.71584003671293,0.8261502620850321,3,20077.0,1.2626438964258524
10,0.0,126,2776,576,2856.6593052279854,119711.0,387,2.23606797749979,1.0290559456873147,49.126472985790684,0.8281622911694511,2,17367.0,1.242577640469697
11,0.0,309,2268,467,2333.8754672564546,110699.0,379,2.23606797749979,1.0290456204834455,58.23247250046237,0.8292504570383912,3,15871.0,1.2409346437487758
12,0.0,1009,2864,626,2973.9730137269653,118710.0,368,2.23606797749979,1.0383983986476835,47.30630931244121,0.8206303724928367,2,18073.0,1.2653667637152288
13,0.0,136,2672,585,2789.50497629544,118203.0,403,2.23606797749979,1.0439764132842215,47.164770788970394,0.8203868590727663,3,17443.0,1.2725416085579002
14,0.0,11,2971,566,3076.1811665286627,112564.0,369,2.23606797749979,1.0354026141126431,38.46855348338841,0.8399773819621148,3,18399.0,1.23265535042626
15,0.0,4,2440,496,2545.3384540540874,81228.0,344,2.23606797749979,1.0431714975631505,36.23738570471554,0.8310626702997275,2,14239.0,1.2552260314940205
16,0.0,10,2358,506,2416.7455249415366,99140.0,323,2.23606797749979,1.0249132845383955,54.630524834595725,0.8233240223463687,3,14705.0,1.244848026682767
17,0.0,473,2515,546,2572.669406495776,98616.0,336,2.23606797749979,1.0229301815092549,39.61429509855077,0.8216269193074158,3,16015.0,1.245005680158978
18,0.0,428,2532,563,2624.7526676164575,82756.0,259,2.23606797749979,1.0366321752039722,33.13332121118122,0.8180936995153474,4,14037.0,1.2671313516020117
19,0.0,689,2790,543,2917.4704884100215,133143.0,376,2.23606797749979,1.0456883471003662,49.5754420308409,0.8370837083708371,2,19587.0,1.2492040361596848
20,0.0,6,2921,617,3014.3821766554415,149330.0,416,2.23606797749979,1.0319692491117567,59.19450773905471,0.8256076879592991,2,20403.0,1.2499511137820591
21,0.0,782,2754,533,2875.7303730398485,132625.0,401,2.23606797749979,1.0442012974000903,59.12715731983025,0.8378460602372985,4,18891.0,1.2462925434110737
22,0.0,384,2712,478,2832.9608204181513,124538.0,413,2.23606797749979,1.044602072425572,43.451644524649495,0.8501567398119122,4,19347.0,1.2287170394681324
23,0.0,8,3050,579,3183.8796513384877,115921.0,413,2.23606797749979,1.043894967651963,42.46099532064065,0.8404519151281344,2,18695.0,1.2420638811832703
24,0.0,180,2248,448,2358.6033893178123,90977.0,350,2.23606797749979,1.049200795959881,40.58152918352567,0.8338278931750742,4,14573.0,1.2582941930195013
25,0.0,2,2819,585,2907.487732352728,107285.0,356,2.23606797749979,1.0313897596143058,40.59829426795606,0.8281433607520564,2,17249.0,1.2454241723047523
26,0.0,2,2274,419,2346.603389317814,77562.0,298,2.23606797749979,1.0319276118372094,37.54570782996173,0.844411437059042,2,13237.0,1.2220673081255957
27,0.0,75,2721,531,2833.5466068557776,110733.0,349,2.23606797749979,1.0413622222917227,42.740408346264154,0.8367158671586716,4,17965.0,1.2445828544258295
28,0.0,770,2641,556,2739.161830544936,130262.0,397,2.23606797749979,1.0371684326183022,57.38648267473649,0.8260869565217391,2,18681.0,1.2555196815905763
29,0.0,22,2855,596,2986.1984104713765,111335.0,345,2.23606797749979,1.0459539090968044,48.287475610117205,0.8272964358157056,2,17721.0,1.264303656845209
30,0.0,1840,3326,630,3485.2421330727257,194910.0,477,2.23606797749979,1.0478779714590276,56.77715906526784,0.8407482305358949,4,26567.0,1.2463635763956444
