Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio
1,1.0,577,926,75,962.0580079512722,141077.0,324,16.0312195418814,1.0389395334247,115.58111832465859,0.9250749250749251,21,13113.0,1.1230869038424673
2,9.0,392,902,99,925.359523141437,395325.0,330,39.56008088970496,1.0258974757665598,324.80787082819154,0.9010989010989011,53,20024.0,1.138495979204353
3,0.0,567,921,80,944.4305909533025,250885.0,304,47.01063709417264,1.025440381056789,468.4186974296825,0.9200799200799201,65,11348.0,1.1145122925492352
4,1.0,526,926,75,976.8864350760184,263417.0,354,39.45883931389772,1.0549529536458082,299.76589318495746,0.9250749250749251,56,16409.0,1.1403973073428229
5,0.0,446,925,76,994.7270555095846,159381.0,361,40.24922359499622,1.0753806005509023,252.3634590224682,0.9240759240759241,58,12049.0,1.1637361958394088
6,2.0,966,941,60,983.2712113868688,168985.0,393,28.653097563788805,1.044921584895716,204.65011240972447,0.9400599400599401,36,13327.0,1.1115478283534663
7,1.0,593,913,88,949.8448045156756,541277.0,355,58.05170109479997,1.040355755219798,771.6819107651961,0.9120879120879121,87,19148.0,1.1406310087349592
8,0.0,689,927,74,961.9869401394066,282747.0,376,44.204072210600685,1.0377421144977417,386.17641922344865,0.926073926073926,64,15852.0,1.1205823695924912
9,0.0,453,944,57,983.5138520739881,114728.0,359,22.20360331117452,1.0418578941461738,101.3466932286939,0.9430569430569431,32,11201.0,1.1047666864833898
10,1.0,213,927,74,972.4427842621226,125601.0,309,11.40175425099138,1.049021342246087,88.48345793435985,0.926073926073926,17,12163.0,1.1327619887684284
11,0.0,282,943,58,1012.7981233214502,179358.0,383,39.824615503479755,1.074017097901856,262.89986050653323,0.942057942057942,64,13740.0,1.140075413573444
12,0.0,880,906,95,980.6854249492419,293650.0,407,47.042533945356304,1.0824342438733354,416.59451830963405,0.9050949050949051,64,15799.0,1.1959345233081775
13,0.0,312,914,87,964.0580079512722,190221.0,342,37.8021163428716,1.0547680612158339,287.8819168373,0.913086913086913,50,12481.0,1.1551672092746714
14,0.0,563,919,82,982.4844148224653,327930.0,417,59.405386961116584,1.0690798855521928,625.3488870412435,0.9180819180819181,80,15591.0,1.1644711267004841
15,0.0,675,920,81,962.957502887884,188660.0,332,25.612496949731394,1.046692937921613,161.21523218193113,0.919080919080919,42,14436.0,1.1388474248473204
16,0.0,524,926,75,1003.839753881793,190313.0,358,38.600518131237564,1.0840602093755862,311.45459367649676,0.9250749250749251,60,11517.0,1.171862062186784
17,2.0,951,886,115,905.359523141437,504082.0,414,50.99019513592785,1.021850477586272,612.9385079103994,0.8851148851148851,71,21294.0,1.1544834402526618
18,0.0,459,894,107,947.8569978244957,462764.0,358,43.46262762420146,1.0602427268730377,609.8732323422511,0.8931068931068931,61,19381.0,1.1871397870245086
19,0.0,402,925,76,975.7148622007646,141913.0,375,30.463092423455635,1.0548268780548806,148.58108316039258,0.9240759240759241,41,12829.0,1.1414937350626329
20,0.0,389,935,66,996.9991334482268,192534.0,312,42.0,1.066309233634467,339.40718895293634,0.9340659340659341,56,12338.0,1.141578120714547
21,2.0,681,901,100,940.8864350760183,307860.0,366,38.2099463490856,1.0442690733363134,327.7308377228316,0.9000999000999002,56,16295.0,1.1601701913536622
22,0.0,449,925,76,980.6854249492419,225629.0,381,48.25971404805462,1.0602004594045857,416.909433176537,0.9240759240759241,70,12795.0,1.1473088214745841
23,0.0,97,940,61,1010.253967444166,64810.0,309,19.4164878389476,1.0747382632384745,79.95369564012364,0.939060939060939,23,8522.0,1.1444819164911841
24,1.0,744,909,92,962.5727265770336,251444.0,325,36.05551275463989,1.0589358928240193,345.65609159185556,0.9080919080919081,55,14126.0,1.1661109226807957
25,1.0,455,932,69,969.8569978244957,107677.0,348,12.806248474865697,1.0406190963782143,94.46323159014291,0.9310689310689311,20,11073.0,1.1176606389212365
26,0.0,850,919,82,979.0285706997496,203375.0,438,9.219544457292887,1.0653194458103914,150.2249210971196,0.9180819180819181,13,15485.0,1.1603751526182826
27,0.0,539,911,90,947.7442994522874,217881.0,360,43.41658669218482,1.0403340279388444,349.4359055568892,0.9100899100899101,64,12354.0,1.1431112645079948
28,1.0,356,936,65,999.1412690719577,173416.0,326,36.76955262170047,1.0674586208033736,246.60586683295588,0.935064935064935,51,13014.0,1.1415876916924967
29,8.0,898,900,101,967.8569978244958,331347.0,354,38.118237105091836,1.0753966642494397,221.8002038183056,0.8991008991008991,47,19383.0,1.1960800676818768
30,0.0,528,912,89,959.3300858899142,300724.0,410,41.78516483155236,1.051897024002099,367.40082884305235,0.9110889110889111,60,17195.0,1.154549255511076
